Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Quartile Range,Usage_Category
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",26.2,22.9,29.7,25.4-27.1,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",23.2,18.4,28.6,23.1-25.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",26.1,22.6,30.0,25.4-27.1,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",30.7,25.0,36.9,27.2-31.5,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",28.5,25.7,31.3,27.2-31.5,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",24.0,20.3,27.9,23.1-25.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",27.9,22.7,33.7,27.2-31.5,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",23.8,20.6,27.3,23.1-25.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",20.0,15.8,24.8,14.7-23.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",29.0,24.4,33.9,27.2-31.5,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",20.6,18.0,23.3,14.7-23.0,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",26.5,23.6,29.6,25.4-27.1,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",31.5,27.4,35.8,27.2-31.5,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",24.4,20.8,28.4,23.1-25.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",27.1,24.6,29.8,25.4-27.1,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",28.8,24.1,33.9,27.2-31.5,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",25.2,21.4,29.3,23.1-25.3,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",25.3,19.8,31.3,23.1-25.3,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.1,10.6,11.7,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",20.5,18.4,22.6,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",15.9,14.3,17.7,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.4,11.2,13.6,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.8,7.9,9.7,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",6.1,5.3,6.9,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",3.2,2.8,3.8,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",2.7,1.3,5.1,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.5,7.7,9.5,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",13.5,12.8,14.2,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",3.6,3.2,4.1,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",25.3,24.0,26.6,9.8-11.2,High
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.1,10.5,13.9,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.6,10.1,11.2,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.7,9.7,14.0,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.1,6.4,10.2,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",18.3,15.0,22.0,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.6,8.8,15.0,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.2,7.2,9.4,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",14.5,13.5,15.5,9.8-11.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.4,9.9,10.9,9.8-11.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.3,9.3,15.9,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.8,7.7,12.2,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",13.0,10.2,16.3,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.5,7.9,16.1,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.6,9.7,13.7,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.7,9.3,14.3,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.5,7.1,12.4,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.8,6.0,12.5,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.5,8.2,18.0,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.3,9.1,13.9,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",14.3,10.5,18.8,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",6.2,3.5,10.0,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.8,7.7,12.2,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.3,9.2,13.7,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.2,7.0,11.9,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.8,7.6,14.8,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.6,9.2,16.9,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.3,6.1,11.0,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.8,6.7,13.8,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.2,6.5,17.7,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.9,8.5,13.8,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.9,6.8,11.5,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.1,7.0,11.6,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.2,8.2,12.5,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.8,6.5,14.0,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.7,6.4,11.6,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.4,7.5,14.0,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.0,6.6,11.9,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.7,8.5,15.6,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.3,8.6,16.9,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",8.3,6.4,10.5,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.7,9.6,16.3,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.6,9.8,15.8,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",13.4,10.8,16.5,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",7.8,4.7,12.1,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.4,7.1,12.0,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.7,9.2,14.7,10.8-12.2,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.2,10.1,14.6,10.8-12.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.1,7.4,11.2,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.5,6.4,13.5,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.6,7.5,14.5,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",6.2,3.8,9.3,6.2-9.4,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.7,8.1,13.8,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.2,9.4,15.4,10.8-12.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.7,10.6,15.0,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.0,7.5,13.1,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",11.8,9.3,14.7,10.8-12.2,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",12.6,10.3,15.2,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",14.2,9.7,19.8,12.3-14.3,Medium
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",10.0,7.5,13.0,9.5-10.7,Low
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 – Mar 29),27,"Mar 17 - Mar 29, 2021",9.8,7.0,13.1,9.5-10.7,Low
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,-1,1,"Mar 30 - Apr 13, 2021",17.45073633245915,14.771565462981643,20.47566068186403,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,3.1,28,"Apr 14 - Apr 26, 2021",21.2,20.5,21.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,3.1,28,"Apr 14 - Apr 26, 2021",21.8,19.2,24.6,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,3.1,28,"Apr 14 - Apr 26, 2021",20.4,19.1,21.7,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,3.1,28,"Apr 14 - Apr 26, 2021",22.8,21.1,24.5,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,3.1,28,"Apr 14 - Apr 26, 2021",22.3,20.8,23.8,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,3.1,28,"Apr 14 - Apr 26, 2021",21.1,19.9,22.4,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,3.1,28,"Apr 14 - Apr 26, 2021",19.2,17.2,21.4,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,3.1,28,"Apr 14 - Apr 26, 2021",14.7,11.4,18.5,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,3.1,28,"Apr 14 - Apr 26, 2021",15.4,14.5,16.4,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,3.1,28,"Apr 14 - Apr 26, 2021",26.3,25.2,27.4,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.1,28,"Apr 14 - Apr 26, 2021",14.3,13.7,14.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.1,28,"Apr 14 - Apr 26, 2021",35.7,34.1,37.3,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,28,"Apr 14 - Apr 26, 2021",17.8,15.7,20.1,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,28,"Apr 14 - Apr 26, 2021",23.8,23.0,24.5,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,28,"Apr 14 - Apr 26, 2021",15.3,13.5,17.3,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,28,"Apr 14 - Apr 26, 2021",8.3,6.8,9.9,9.8-11.2,Low
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,28,"Apr 14 - Apr 26, 2021",23.5,20.2,27.2,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.1,28,"Apr 14 - Apr 26, 2021",22.8,18.7,27.3,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,3.1,28,"Apr 14 - Apr 26, 2021",18.7,17.4,20.1,9.8-11.2,Medium
